uber_Name,google_Name,average_health_score,cid,uber_id,uber_categories,google_tags,google_categories
Truffles Cafe,Truffles,-3.3042810150682898,a5568413467234468666,PoM4VtBaXgiwyZbALGVOlA,"breakfast and brunch,coffee and tea,sandwich","egg,atmosphere,saturday,table,burger,average,bacon",coffee
Caminetto Italian Restaurant,Caminetto Italian Restaurant and Pizzeria,-3.5023972207035867,a4216126065740192203,5fkamKiSrOdVHFrkqpxIA,"italian,gluten free friendly,seafood,pasta,pizza,allergy friendly","house wine,marinara,rock,insult,frozen,harp,oyster,average,domino,supermarket",italian
Miller Bakery Pizza and Cafe,Miller Bakery,-6.238492467325152,a13912423044864008849,DBTUdBINQPaGBq36YAPKTA,"italian,comfort food,fast food","topping,lebanese,value,price","pizza,breakfast,pizza delivery"
V lounge cafe,V Lounge,-5.224784747847479,a5715799778394664369,5G-MFEAZR3m5g23PfaQ4aw,"australian,breakfast and brunch,american","matcha,desert,fried ice cream,pasta,taro,creme brulee,cigar,brunch,cafe,dessert","pan asian,cafe"
Domino's (Edensor Park),Domino's Pizza Edensor Park,-4.813213868535859,a10098857637374398486,iho_fad1SQqjUFd-KxWcNA,"italian,gluten free,pizza,dessert","manager,price,call,order,topping,pepperoni,money,disgusting,delivery,consistent","pizza takeout,fast food,lunch,pizza,pizza delivery,family,takeout,delivery,restaurant,dessert"
Fresh Shawarma Burger & Kebabs,Fresh Shawarma Kebabs & Burgers,-8.390233918128656,a10942712335918025157,lbD2z9K5XX2z8dZGnKAatA,"snack,burger,kebab","sauce,meat,kebab,salad,iraqi bread",middle eastern
Fish n Grill,Fish n Grille,-4.855867904878509,a14772866348473355332,RidzYaZXXvK7F85m6gFsRQ,"comfort food,seafood,fish and seafood","baby,price,plate,cooked,coleslaw,takeout,octopu","fish,chip,food court"
iJuice Sugarcane Drive Thru,iJuice Sugarcane,-5.045,a14360185275632251376,S2uWlZMeTeatSol5qAtf4w,"healthy,juice and smoothy","smoothie,price,sugarcane juice,flavour,mango,pomegranate","juice,cafe"
Frango (Smithfield),Frango Charcoal Chicken Smithfield,-6.135183784712517,a9837259884106374824,X4QQzOrjTSO6vM0va_D0Dg,"portuguese,chicken,exclusive to eats,burger,comfort food,modern australian,family meal","food,tabouli,mayo,fillet,chip,chicken,chilli sauce,lamb,service,portuguese,burger,portion size","chicken,fast food"
Harry's House,Harry’s House,-3.546382743362832,a3287477433274082554,r0kDJxzsQ0aycJcNqg9Wsw,"korean,dessert,allergy friendly,vietnamese","durian,coconut,price,atmosphere,takeout,bingsu,flan,purple rice,mango,dessert",coffee
Airlab,Air Lab,-4.265176991150443,a13942173115825831513,a3G1Y9WASQqBZhivfp2i2Q,"cupcake,dessert,pastry","biscoff,parfait,cheesecake,creme brûlée pancake,pearl,soufflé pancake,creme brulee,light,fluffy pancake,cream puff","pancake,restaurant"
Scent-tastic,Scent-tastic Coffee & Sandwich,-4.451041578448572,a11683075610854763431,jg9FilUWQRGlntrw6dYIcQ,"breakfast and brunch,coffee and tea,juice and smoothy","bubble tea,bacon,shake,frappe,breakfast",coffee
Oporto (Prairiewood DT),Oporto Prairiewood Drive Thru,-6.016383804078074,a10545427789797805742,FDSGh1eHSmin6efjgBqsuA,"chicken,family meal,burger,healthy,dessert,vegan,fast food","smile,hygiene,parking,price,management,dining,clean,sell,chilli,girl","fast food,chicken,portuguese,burger,cafe"
Battambang Restaurant,Battambang Restaurant II,-0.48333333333333334,a466806817755279793,X381mYJ7TGCse14Q9oIq7w,"asian,cambodian,chinese","sauce,fried,dish,pork,bowl,rice noodle,chicken,clean,broth,noodle soup",cambodian
