uber_Name,uber_id,average_health_score,categories
Two Buns,0ER8jVeuSVW3lqaPlG-Q-A,-6.985136641864064,"comfort food,burger,fast food"
Kebab & Co,5l3Nsw50SmSV_68O0sq93Q,-4.993382352941177,"turkish,middle eastern,family meal,salad"
Beirut Shawarma,6t8mcRD4SuqGx_GHFgxPfQ,-5.93,"middle eastern,bbq,fast food"
MONKEY'Z GRILL,U3Qxz5V4Q0qjqIMkEhBapw,-6.89180330853073,"comfort food,burger,american"
Babylon Restaurant,qf9FfRweTOuwJRrlaedAwA,-4.410000000000001,"middle eastern,halal,western,lebanese,family meal"
Master Grillerz,SILdaNrOQr6w642-BTbgXQ,-7.810701754385965,burger
Little Hong Kong Bankstown,7V8YhuYbT8SGQYsqdDv0pQ,-1.6500000000000001,"chinese: other,halal,vietnamese"
Coffee Kaaf,bqSC7z46Vg2qlUyL0d2qDw,-5.584017857729239,"crepe,coffee and tea,fast food"
Roses Grill and Kebabs,4L6l3W7NSoiFYx8H5nptlw,-6.335,"mediterranean,lebanese"
Pizzeria Bellucci at La Piazza,6le927GbR9-fiBJn0Ms7Bw,-5.570769230769231,italian
The Fat Leb,PrE5HOkcSH-s0yvYzEc2hA,-5.911569390402075,"middle eastern,comfort food,lebanese"
Big Sam's Pizzeria,ajnzJ7vKQ4KApMlcvfKRww,-5.544331125173027,"italian,european,pizza,fast food"
Loco Mexico Bankstown,nHjkT0WBSDG8vM8TjXjCMw,-6.11,mexican
Mega Grillz,zHSSZMjsRmSIpy3GKKk5fA,-7.01180330853073,"hot dog,comfort food,burger"
Best Bamboo,grllK6S2RTadUU9N1Tn6pQ,0.18999999999999995,"soup,noodle,chinese"
Wonderful Noodle Bar,XWPk3ikDQLOTLebKQN4NPw,-0.7933333333333333,"chinese,asian,noodle"
Burgers by Seafood Master,wRjQb1-MQ32P2Ri8cK97bw,-5.654902723735408,"fast food,comfort food,modern australian"
Fruitime,48ohO0iqTAy2Z9GRqYxBVA,-5.853333333333333,"healthy,ice cream and frozen yoghurt,juice and smoothy"
The Chocolate Club,5rkOl1-6SQOcCUta2orijg,-5.480079714885851,"dessert,comfort food,kid friendly"
Bayt Al Tanoor,8Gmyfpu5TFKI8qN6NXNjfw,-3.0075000000000003,"arabian,lebanese,pastry,family meal"
Urban food shack syd,WV40MeNrQRmizoTRARkRsA,-6.654140350877194,"halal,burger,hot dog,fast food,family meal"
Cornerstone Coffee & Kitchen,DPs6Po_DS3aCrEv8JacUiw,-3.65,"cafe,modern australian"
Blue Mist Lounge,vt3is7UDSv6Kwk3CXrUtfg,-3.5715693904020753,"comfort food,steak,modern australian"
Sugar Daddy,TzzGwknhQq6upCAzLfYjrw,-3.5500000000000003,"healthy,asian fusion,juice and smoothy"
Bankstown Sports Kitchen,1k-2dL6_QySx4PMPWqIGFQ,-3.096764705882353,"salad,modern australian"
Lucky Cheng's,F2fs_fHnQw2923BugerDXw,-0.7286267605633803,"vegetarian friendly,asian,noodle,chinese"
Cocktail House,NarJy2N5SjKFUngcOpkGAA,-4.068588560885609,"juice and smoothy,cafe,breakfast and brunch,modern australian"
Yellowday Cafe,5wPI6sh6X6qb-2NbvWwwkQ,-5.016162933887478,"snack,sandwich,coffee and tea"
Metro Petroleum (Yagoona),bfi1uz0gSRO5IElgEB1gHw,-7.57,"convenience,everyday essential"
Metro Petroleum (Nth Strathfield),84TyiqPTTcS2XO_ijxaZHQ,-7.57,"convenience,everyday essential"
Sefton Hotel,jfp3tDKyViqBi4ag8pSKww,0.0,
Hanamaruya,2hnQxreuQt6j0TtNvAhfVw,1.0166666666666666,"japanese set item,asian,japanese"
Eat Healthy (Greenacre),6UxL18XYR02JlxZeXQgNpw,-5.656154686279393,"exclusive to eats,fast food,salad,american"
Fionix Thai Restaurant,i46aP3zATPmXjEgjtEk5rQ,-0.41500000000000004,"asian,thai"
